county	date	fips	new.cases
GRAHAM	2020-07-19	4009	14
GRAHAM	2020-07-20	4009	6
GRAHAM	2020-07-21	4009	13
GRAHAM	2020-07-22	4009	3
GRAHAM	2020-07-23	4009	14
GRAHAM	2020-07-24	4009	25
GRAHAM	2020-07-25	4009	9
GRAHAM	2020-07-26	4009	4
GRAHAM	2020-07-27	4009	30
GRAHAM	2020-07-28	4009	35
GRAHAM	2020-07-29	4009	11
GREENLEE	2020-03-30	4011	1
GREENLEE	2020-03-31	4011	0
GREENLEE	2020-04-01	4011	0
GREENLEE	2020-04-02	4011	0
GREENLEE	2020-04-03	4011	0
GREENLEE	2020-04-04	4011	0
GREENLEE	2020-04-05	4011	0
GREENLEE	2020-04-06	4011	0
GREENLEE	2020-04-07	4011	0
GREENLEE	2020-04-08	4011	0
GREENLEE	2020-04-09	4011	0
GREENLEE	2020-04-10	4011	0
GREENLEE	2020-04-11	4011	1
GREENLEE	2020-04-12	4011	0
GREENLEE	2020-04-13	4011	0
GREENLEE	2020-04-14	4011	0
GREENLEE	2020-04-15	4011	0
GREENLEE	2020-04-16	4011	0
GREENLEE	2020-04-17	4011	0
GREENLEE	2020-04-18	4011	0
GREENLEE	2020-04-19	4011	0
GREENLEE	2020-04-20	4011	0
GREENLEE	2020-04-21	4011	0
GREENLEE	2020-04-22	4011	0
GREENLEE	2020-04-23	4011	0
GREENLEE	2020-04-24	4011	0
GREENLEE	2020-04-25	4011	0
GREENLEE	2020-04-26	4011	0
GREENLEE	2020-04-27	4011	0
GREENLEE	2020-04-28	4011	0
GREENLEE	2020-04-29	4011	0
GREENLEE	2020-04-30	4011	0
GREENLEE	2020-05-01	4011	0
GREENLEE	2020-05-02	4011	0
GREENLEE	2020-05-03	4011	0
GREENLEE	2020-05-04	4011	0
GREENLEE	2020-05-05	4011	0
GREENLEE	2020-05-06	4011	0
GREENLEE	2020-05-07	4011	0
GREENLEE	2020-05-08	4011	0
GREENLEE	2020-05-09	4011	0
GREENLEE	2020-05-10	4011	0
GREENLEE	2020-05-11	4011	0
GREENLEE	2020-05-12	4011	0
GREENLEE	2020-05-13	4011	0
GREENLEE	2020-05-14	4011	0
GREENLEE	2020-05-15	4011	0
GREENLEE	2020-05-16	4011	0
GREENLEE	2020-05-17	4011	0
GREENLEE	2020-05-18	4011	0
GREENLEE	2020-05-19	4011	1
GREENLEE	2020-05-20	4011	0
GREENLEE	2020-05-21	4011	0
GREENLEE	2020-05-22	4011	0
GREENLEE	2020-05-23	4011	0
GREENLEE	2020-05-24	4011	0
GREENLEE	2020-05-25	4011	0
GREENLEE	2020-05-26	4011	0
GREENLEE	2020-05-27	4011	0
GREENLEE	2020-05-28	4011	1
GREENLEE	2020-05-29	4011	0
GREENLEE	2020-05-30	4011	0
GREENLEE	2020-05-31	4011	2
GREENLEE	2020-06-01	4011	0
GREENLEE	2020-06-02	4011	2
GREENLEE	2020-06-03	4011	0
GREENLEE	2020-06-04	4011	0
GREENLEE	2020-06-05	4011	1
GREENLEE	2020-06-06	4011	0
GREENLEE	2020-06-07	4011	1
GREENLEE	2020-06-08	4011	0
GREENLEE	2020-06-09	4011	0
GREENLEE	2020-06-10	4011	0
GREENLEE	2020-06-11	4011	1
GREENLEE	2020-06-12	4011	0
GREENLEE	2020-06-13	4011	0
GREENLEE	2020-06-14	4011	0
GREENLEE	2020-06-15	4011	1
GREENLEE	2020-06-16	4011	0
GREENLEE	2020-06-17	4011	0
GREENLEE	2020-06-18	4011	1
GREENLEE	2020-06-19	4011	1
GREENLEE	2020-06-20	4011	-1
GREENLEE	2020-06-21	4011	0
GREENLEE	2020-06-22	4011	0
GREENLEE	2020-06-23	4011	3
GREENLEE	2020-06-24	4011	0
GREENLEE	2020-06-25	4011	1
GREENLEE	2020-06-26	4011	0
GREENLEE	2020-06-27	4011	1
GREENLEE	2020-06-28	4011	0
GREENLEE	2020-06-29	4011	0
GREENLEE	2020-06-30	4011	0
GREENLEE	2020-07-01	4011	0
GREENLEE	2020-07-02	4011	1
GREENLEE	2020-07-03	4011	0
GREENLEE	2020-07-04	4011	-1
GREENLEE	2020-07-05	4011	3
GREENLEE	2020-07-06	4011	5
GREENLEE	2020-07-07	4011	0
GREENLEE	2020-07-08	4011	0
GREENLEE	2020-07-09	4011	1
GREENLEE	2020-07-10	4011	2
GREENLEE	2020-07-11	4011	3
GREENLEE	2020-07-12	4011	0
