state	date	fips	new.cases	abbr
MASSACHUSETTS	2020-07-22	25	287	MA
NEW JERSEY	2020-07-22	34	335	NJ
NEW YORK	2020-07-22	36	706	NY
CONNECTICUT	2020-07-22	9	127	CN
NEW HAMPSHIRE	2020-07-22	33	33	NH
HAWAII	2020-07-22	15	17	HI
MAINE	2020-07-22	23	0	ME
VERMONT	2020-07-22	50	0	VT
MISSISSIPPI	2020-07-21	28	1635	MS
ARIZONA	2020-07-21	4	3410	AZ
FLORIDA	2020-07-21	12	9440	FL
SOUTH CAROLINA	2020-07-21	45	1892	SC
LOUISIANA	2020-07-21	22	1691	LA
TEXAS	2020-07-21	48	9922	TX
TENNESSEE	2020-07-21	47	2082	TN
ALABAMA	2020-07-21	1	1467	AL
IDAHO	2020-07-21	16	519	ID
GEORGIA	2020-07-21	13	3077	GA
NEVADA	2020-07-21	32	800	NV
CALIFORNIA	2020-07-21	6	10171	CA
ARKANSAS	2020-07-21	5	728	AR
OKLAHOMA	2020-07-21	40	893	OK
MISSOURI	2020-07-21	29	1204	MO
WISCONSIN	2020-07-21	55	1139	WI
NORTH CAROLINA	2020-07-21	37	1868	NC
NEBRASKA	2020-07-21	31	343	NE
UTAH	2020-07-21	49	563	UT
ALASKA	2020-07-21	2	111	AK
KENTUCKY	2020-07-21	21	660	KY
NEW MEXICO	2020-07-21	35	302	NM
MARYLAND	2020-07-21	24	860	MD
DELAWARE	2020-07-21	10	122	DE
DISTRICT OF COLUMBIA	2020-07-21	11	88	DC
IOWA	2020-07-21	19	378	IA
VIRGINIA	2020-07-21	51	996	VA
INDIANA	2020-07-21	18	737	IN
NORTH DAKOTA	2020-07-21	38	81	ND
WASHINGTON	2020-07-21	53	797	WA
MONTANA	2020-07-21	30	101	MT
OHIO	2020-07-21	39	1047	OH
WYOMING	2020-07-21	56	51	WY
COLORADO	2020-07-21	8	503	CO
SOUTH DAKOTA	2020-07-21	46	76	SD
OREGON	2020-07-21	41	350	OR
ILLINOIS	2020-07-21	17	982	IL
RHODE ISLAND	2020-07-21	44	82	RI
PENNSYLVANIA	2020-07-21	42	962	PA
MICHIGAN	2020-07-21	26	698	MI
MINNESOTA	2020-07-21	27	350	MN
